Deal name masked,Customer Name Code,Serial #,Nature of Work,Last executed month of recurring project,Execution Status,Data Delivery Date,Date of PO/LOI,Document Type,Probable Start Date,Probable End Date,BD/KAM Personnel code,Sector,Type of Work,Is any Skylark software platform part of the client deliverables in this deal?,Last invoice date,latest invoice no.,Amount in Rupees (Excl of GST) (Masked),Amount in Rupees (Incl of GST) (Masked),Billed Value in Rupees (Excl of GST.) (Masked),Billed Value in Rupees (Incl of GST.) (Masked),Collected Amount in Rupees (Incl of GST.) (Masked),Amount to be billed in Rs. (Exl. of GST) (Masked),Amount to be billed in Rs. (Incl. of GST) (Masked),Amount Receivable (Masked),AR Priority account,Quantity by Ops,Quantities as per PO,Quantity billed (till date),Balance in quantity,Invoice Status,Expected Billing Month,Actual Billing Month,Actual Collection Month,WO Status (billed),Collection status,Collection Date,Billing Status,source_row_number,quality_flag
Ben Tennyson,WOCOMPANY_034,SDPLDEAL-112,,,Completed,,2024-05-16,,,,,Renewables,"Topography Survey: RGB, Hydrology",,,,215810.0,254655.8,215810.0,254655.8,254655.8,0.0,0.0,0.0,,,,,,,,,,,,,,105,missing_owner_code
Alphonse,WOCOMPANY_009,SDPLDEAL-113,,,,,2024-12-20,,,,OWNER_001,Renewables,"Topography Survey: RGB, Hydrology",,,,607351.0,716674.18,607351.0,716674.18,716674.18,0.0,0.0,0.0,,,,,,,,,,,,,,106,missing_execution_status
Yuji Itadori,WOCOMPANY_006,SDPLDEAL-115,,,Completed,,2025-03-24,,,,,Renewables,Hydrology,,,,616600.0,727588.0,616600.0,727588.0,727588.0,0.0,0.0,0.0,,,,,,Fully Billed,,,,,,,,107,missing_owner_code
Ace,WOCOMPANY_013,SDPLDEAL-116,,,Completed,,2025-03-05,,,,,Others,Topography Survey: RGB,,,,176347.6,208090.168,176347.6,208090.168,,0.0,0.0,208090.168,,,,,,Fully Billed,,,,,,,,108,missing_owner_code
Shanks,WOCOMPANY_012,SDPLDEAL-117,,,Completed,,2025-03-31,,,,,Renewables,Thermography,,,,221636.87,261531.5066,221636.87,261531.5066,,0.0,0.0,261531.5066,,,,,,Fully Billed,,,,,,,,109,missing_owner_code
Bulbasaur,WOCOMPANY_050,SDPLDEAL-118,,,Completed,,2025-03-25,,,,,Renewables,Topography Survey: RGB,,,,308300.0,363794.0,308300.0,363794.0,,0.0,0.0,363794.0,,,,,,Fully Billed,,,,,,,,110,missing_owner_code
Sesshomaru,WOCOMPANY_017,SDPLDEAL-119,,,Completed,,2024-12-03,,,,,Renewables,"Hydrology, Topography Survey: RGB",,2025-04-16,SDPL/FY25-26/002,446418.4,526773.712,446418.4,526773.712,526773.712,0.0,0.0,0.0,,,,,,Fully Billed,,,,Closed,,,,111,missing_owner_code
Mr. Krabs,WOCOMPANY_031,SDPLDEAL-120,,,Completed,,2025-01-21,,,,,Mining,Volumetric survey,,2025-06-20,SDPL/FY25-26/083,554940.0,654829.2,554940.0,654829.2,588236.4,0.0,0.0,66592.8,,,,,,Fully Billed,,,,Closed,,,,112,missing_owner_code
Pumbaa,WOCOMPANY_047,SDPLDEAL-121,Annual Rate Contract,,Ongoing,,2025-09-02,LOA/LOI,2025-09-02,2026-09-02,OWNER_004,Renewables,Thermography,SPECTRA,,,5224698.44,6165144.1592,2330748.0,2750282.64,,2893950.44,3414861.5192,2750282.64,,,Rate based on MW slabs,,,Partially Billed,,,,Open,,,Partially Billed,113,
Stitch,WOCOMPANY_044,SDPLDEAL-122,,,Completed,,2025-04-01,,,,,Renewables,Flood Risk,,2025-04-29,SDPL/FY25-26/009,431620.0,509311.6,431620.0,509311.6,509311.6,0.0,0.0,0.0,,,,,,Fully Billed,,,,Closed,,,,114,missing_owner_code
Sasuke,WOCOMPANY_002,SDPLDEAL-123,,,Completed,,2024-12-25,,,,,Mining,LiDAR Survey: LiDAR,,,,371193.2,438007.976,371193.2,438007.976,,0.0,0.0,438007.976,,,,,,Fully Billed,,,,Closed,,,,115,missing_owner_code
Alphonse,WOCOMPANY_009,SDPLDEAL-124,,,,,2025-07-24,,,,,Renewables,Others,,2025-07-31,SDPL/FY25-26/378,24664.0,29103.52,24664.0,29103.52,,0.0,0.0,29103.52,,,,,,Fully Billed,,,,Closed,,,,116,missing_owner_code|missing_execution_status
Timon,WOCOMPANY_046,SDPLDEAL-125,Proof of Concept,,Completed,,2025-09-08,Purchase Order,2025-09-11,2025-10-26,OWNER_001,Renewables,Others,SPECTRA,,,277470.0,327414.6,277470.0,327414.6,,0.0,0.0,327414.6,,,45days,,45.0,Fully Billed,,Dec,,,,,,117,
Gohan,WOCOMPANY_026,SDPLDEAL-126,One time Project,,Completed,,2025-09-10,Purchase Order,2025-08-01,2025-09-05,OWNER_001,Construction,Topography Survey: RGB,NONE,2025-09-15,SDPL/FY25-26/448,788298.436,930192.15448,788298.436,930192.15448,914425.1992,0.0,0.0,15766.9552799999,,,1,,1.0,Fully Billed,,October,,Closed,,,,118,
Kaguya,WOCOMPANY_014,SDPLDEAL-127,One time Project,,Completed,,2025-09-12,Purchase Order,2025-09-15,2025-10-31,OWNER_003,Railways,Others,NONE,,,5061052.8,5972042.304,,0.0,,5061052.8,5972042.304,0.0,,,304 RKM,,304.0,,,,,,,,,119,
Bugs Bunny,WOCOMPANY_028,SDPLDEAL-128,One time Project,,Ongoing,,2025-09-12,Purchase Order,2025-09-15,2025-10-31,OWNER_003,Railways,Others,NONE,,,8789158.71128,10371207.2793104,,0.0,,8789158.71128,10371207.2793104,0.0,,,580 RKM,,580.0,,,,,,,,,120,
Armin,WOCOMPANY_020,SDPLDEAL-129,Annual Rate Contract,,Completed,2025-09-20,2025-09-10,Purchase Order,2025-07-24,2025-12-31,OWNER_001,Mining,Topography Survey: RGB,SPECTRA,,,218478.6448,257804.800864,145653.49864,171871.1283952,,72825.14616,85933.6724688,171871.1283952,,,3 Quarter (Till Dec),,3.0,Fully Billed,,October,,Closed,,,,121,
Armin,WOCOMPANY_020,SDPLDEAL-130,Annual Rate Contract,,Completed,2025-09-20,2025-09-11,Purchase Order,2025-07-24,2025-12-31,OWNER_001,Mining,Topography Survey: RGB,SPECTRA,,,484453.9876,571655.705368,322971.035104,381105.82142272,,161482.952496,190549.88394528,381105.82142272,,,3 Quarter (till December 2025),,3.0,Fully Billed,,Dec,,Closed,,,,122,
Sakura,WOCOMPANY_002,SDPLDEAL-131,One time Project,,Pause / struck,,2025-09-17,Purchase Order,2025-09-15,2025-10-15,OWNER_003,Mining,LiDAR Survey: LiDAR,NONE,,,1224740.248,1445193.49264,,0.0,,1224740.248,1445193.49264,0.0,,,1,,1.0,,,,,,,,Stuck,123,
Sakura,WOCOMPANY_002,SDPLDEAL-132,One time Project,,Pause / struck,,2025-09-17,Purchase Order,2025-09-15,2025-10-15,OWNER_003,Mining,LiDAR Survey: LiDAR,NONE,,,1219634.8,1439169.064,,0.0,,1219634.8,1439169.064,0.0,,,1,,1.0,,,,,,,,Stuck,124,
Gojo,WOCOMPANY_005,SDPLDEAL-134,One time Project,,Completed,,2025-09-20,Purchase Order,2025-09-27,2025-10-15,OWNER_001,Mining,"Topography Survey: RGB, Mine survey",NONE,,SDPL/FY25-26/558,192009.24,226570.9032,58823.64,69411.8952,,133185.6,157159.008,69411.8952,,,865,,865.0,Partially Billed,,,,Open,,,,125,
Faye Valentine,WOCOMPANY_010,SDPLDEAL-133,One time Project,,Completed,,2024-07-19,Purchase Order,2025-09-11,2025-09-19,OWNER_003,Renewables,Solar Inspection,NONE,,,57487090.490128,67834766.778351,57487090.490128,67834766.778351,57487090.490128,0.0,0.0,10347676.288223,,,,,,Fully Billed,,,,,,,Billed,126,billing_status_typo_corrected
Alias_160,WOCOMPANY_051,SDPLDEAL-135,One time Project,,Completed,,2025-07-25,Purchase Order,2025-05-01,2025-05-27,OWNER_001,Mining,"Mine survey, Topography Survey: RGB",SPECTRA,2025-10-07,SDPL/FY25-26/484,89407.0,105500.26,89407.0,105500.26,104886.61968,0.0,0.0,613.64032,,,500,,500.0,Fully Billed,,October,,Closed,,,,127,
Scooby-Doo,WOCOMPANY_002,SDPLDEAL-136,One time Project,,Ongoing,,2025-09-27,Purchase Order,2025-09-29,2025-10-10,OWNER_003,Mining,Others,NONE,,,143051.2,168800.416,,0.0,,143051.2,168800.416,0.0,,,1,,1.0,,,,,,,,,128,
Scooby-Doo,WOCOMPANY_002,SDPLDEAL-137,One time Project,,Ongoing,,2025-09-27,Purchase Order,2025-09-29,2025-10-30,OWNER_003,Mining,Others,NONE,,,143051.2,168800.416,,0.0,,143051.2,168800.416,0.0,,,1,,1.0,,,,,,,,,129,
Alias_160,WOCOMPANY_051,SDPLDEAL-138,One time Project,,Pause / struck,,2025-09-19,Purchase Order,2025-10-06,2025-10-30,OWNER_001,Mining,Topography Survey: RGB,SPECTRA,,,261901.71324,309044.0216232,,0.0,,261901.71324,309044.0216232,0.0,,,1464.66 HA,,1464.66,Not billed yet,,,,,,,,130,
Scooby-Doo,WOCOMPANY_002,SDPLDEAL-139,One time Project,,Ongoing,,2025-10-03,Purchase Order,2025-09-20,2025-10-20,OWNER_003,Mining,LiDAR Survey: LiDAR,NONE,,,699730.012,825681.41416,,0.0,,699730.012,825681.41416,0.0,,,1,,1.0,,,,,,,,,131,
Trunks,WOCOMPANY_015,SDPLDEAL-140,One time Project,,Ongoing,,2025-10-08,Purchase Order,2025-09-29,2025-10-31,OWNER_003,Railways,LiDAR Survey: LiDAR,NONE,,,3237150.0,3819837.0,,0.0,,3237150.0,3819837.0,0.0,,,350 KM,,350.0,,,,,,,,,132,
Scooby-Doo,WOCOMPANY_002,SDPLDEAL-141,One time Project,,Not Started,,2025-10-09,Purchase Order,2025-09-30,2025-10-30,OWNER_003,Mining,LiDAR Survey: LiDAR,NONE,,,383192.236,452166.83848,,0.0,,383192.236,452166.83848,0.0,,,1,,1.0,,,,,,,,,133,
Inuyasha,WOCOMPANY_016,SDPLDEAL-142,One time Project,,Completed,2026-01-08,2025-10-14,Purchase Order,2025-10-17,2025-11-10,OWNER_003,Renewables,"Topography Survey: RGB, Hydrology, Flood Risk",NONE,,,419288.0,494759.84,,0.0,,419288.0,494759.84,0.0,,,1,,1.0,Stuck,,,,,,,,134,
Patrick Star,WOCOMPANY_030,SDPLDEAL-143,One time Project,,Completed,2025-11-05,2025-10-16,Purchase Order,2025-10-08,2025-10-16,OWNER_001,Others,Hydrology,NONE,,,246640.0,291035.2,246640.0,291035.2,,0.0,0.0,291035.2,,,10 ha,,10.0,Fully Billed,,Dec,,,,,,135,
Kaguya,WOCOMPANY_014,SDPLDEAL-144,One time Project,,Ongoing,,2025-10-27,Purchase Order,2025-11-03,2025-12-01,OWNER_003,Railways,"Road/rail survey, LiDAR Survey: LiDAR",NONE,,,4628199.6,5461275.528,,0.0,,4628199.6,5461275.528,0.0,,,278,,278.0,,,,,,,,,136,
Sakura,WOCOMPANY_002,SDPLDEAL-145,One time Project,,Not Started,,2025-10-27,Purchase Order,2025-10-27,2025-11-03,OWNER_003,Mining,Raw images/videography,NONE,,,64373.04,75960.1872,,0.0,,64373.04,75960.1872,0.0,,,1,,1.0,,,,,,,,,137,
Scooby-Doo,WOCOMPANY_002,SDPLDEAL-146,One time Project,,Ongoing,,2025-10-27,Purchase Order,2025-10-27,2025-11-03,OWNER_003,Mining,"LiDAR Survey: LiDAR, Mine survey",NONE,,,679308.22,801583.6996,,0.0,,679308.22,801583.6996,0.0,,,1,,1.0,,,,,,,,,138,
Katara,WOCOMPANY_037,SDPLDEAL-147,One time Project,,Partial Completed,2025-12-18,2025-10-28,Purchase Order,2025-11-03,2025-11-11,OWNER_003,Railways,"LiDAR Survey: LiDAR, Road/rail survey, Others",NONE,,,1850391.936,2183462.48448,,0.0,,1850391.936,2183462.48448,0.0,,,NA . Verbal confirmation for 59 km,,,,,,,,,,Stuck,139,
Sakura,WOCOMPANY_002,SDPLDEAL-149,Monthly Contract,,Ongoing,,2025-10-30,Purchase Order,2025-11-01,2026-04-01,OWNER_003,Renewables,Others,SPECTRA,,,6011850.0,7093983.0,,0.0,,6011850.0,7093983.0,0.0,,,"4,875,000.000",,4.0,,,,,,,,,140,
Dolphin,WOCOMPANY_029,SDPLDEAL-150,One time Project,,Ongoing,,2025-08-12,LOA/LOI,2025-08-20,2025-12-16,OWNER_002,Powerline,LiDAR Survey: LiDAR,NONE,,,5026523.2,5931297.376,,0.0,,5026523.2,5931297.376,0.0,,,1250 towers,,1250.0,,,,,,,,,141,
Yuji Itadori,WOCOMPANY_006,SDPLDEAL-151,One time Project,,Completed,2025-12-17,2025-11-06,Purchase Order,2025-11-10,2025-12-01,OWNER_003,Renewables,"Hydrology, Topography Survey: RGB",NONE,,SDPL/FY25-26/442,339130.0,400173.4,339130.0,400173.4,400173.4,0.0,0.0,0.0,,,1,,1.0,,,,,,,,Update Required,142,
Ben Tennyson,WOCOMPANY_033,SDPLDEAL-152,One time Project,,Completed,2026-01-09,2025-11-04,Email Confirmation,2025-11-07,2025-11-28,OWNER_003,Renewables,"Topography Survey: RGB, Hydrology",NONE,,,295968.0,349242.24,,0.0,,295968.0,349242.24,0.0,,,1,,1.0,,,,,,,,Update Required,143,
Megumi,WOCOMPANY_007,SDPLDEAL-153,One time Project,,Completed,,2025-04-01,Purchase Order,2025-04-01,2025-04-10,OWNER_003,Renewables,Others,NONE,2025-03-31,SDPL/FY24-25/577,365779.452,431619.75336,365779.452,431619.75336,431620.0,0.0,0.0,-0.24664,,,1,,1.0,Fully Billed,,,,Closed,,,,144,negative_amount_receivable
Donkey,WOCOMPANY_040,SDPLDEAL-154,One time Project,,Ongoing,,2025-11-10,Purchase Order,2025-11-13,2025-12-31,OWNER_003,Railways,"LiDAR Survey: LiDAR, Road/rail survey, Raw images/videography",NONE,,,1346654.4,1589052.192,,0.0,,1346654.4,1589052.192,0.0,,,104 km,,104.0,,,,,,,,,145,
Donkey,WOCOMPANY_040,SDPLDEAL-155,One time Project,,Ongoing,,2025-11-12,Purchase Order,2025-11-13,2026-01-31,OWNER_003,Railways,"LiDAR Survey: LiDAR, Road/rail survey",NONE,,,9089917.2,10726102.296,,0.0,,9089917.2,10726102.296,0.0,,,702,,702.0,,,,,,,,,146,
Golden fish,WOCOMPANY_027,SDPLDEAL-156,Proof of Concept,,Not Started,,2025-10-16,LOA/LOI,2025-12-01,2025-12-31,OWNER_006,Mining,"LiDAR Survey: LiDAR, Volumetric survey",SPECTRA,,,0.0,0.0,,0.0,,0.0,0.0,0.0,,,0,,0.0,,,,,Open,,,Not Billable,147,
Alphonse,WOCOMPANY_009,SDPLDEAL-157,One time Project,,,,2025-11-14,Purchase Order,2025-11-14,2025-11-14,OWNER_005,Renewables,Others,SPECTRA,2025-11-19,SDPL/FY25-26/549,277470.0,327414.6,277470.0,327414.6,321865.2,0.0,0.0,5549.4,,,3 subscriptions,,3.0,Partially Billed,,,,,,,,148,missing_execution_status
Alphonse,WOCOMPANY_009,SDPLDEAL-158,One time Project,,Completed,2025-11-01,2025-10-23,Purchase Order,2025-10-16,2025-10-31,OWNER_001,Renewables,"Hydrology, Topography Survey: RGB",NONE,2025-11-21,SDPL/FY25-26/554,477248.4,563153.112,477248.4,563153.112,515428.272,0.0,0.0,47724.84,,,220HA,,220.0,Fully Billed,,November,,Closed,,,,149,
Timon,WOCOMPANY_046,SDPLDEAL-159,One time Project,,Completed,2025-12-05,2025-11-08,Purchase Order,2025-11-03,2025-12-20,OWNER_001,Renewables,Others,SPECTRA,,,277470.0,327414.6,277470.0,327414.6,,0.0,0.0,327414.6,,,45days,,45.0,Fully Billed,,Dec,,,,,,150,
Timon,WOCOMPANY_046,SDPLDEAL-160,One time Project,,Completed,2025-12-04,2025-11-08,Purchase Order,2025-11-03,2025-12-20,OWNER_001,Renewables,"Powerline Inspection, Videography for construction monitoring, Others",SPECTRA,,,277470.0,327414.6,277470.0,327414.6,,0.0,0.0,327414.6,,,45 days,,45.0,Not billed yet,,,,,,,,151,
Scooby-Doo,WOCOMPANY_002,SDPLDEAL-161,One time Project,,Completed,2026-01-08,2025-11-21,Purchase Order,2025-11-20,2025-11-30,OWNER_003,Mining,LiDAR Survey: LiDAR,NONE,,,304452.416,359253.85088,,0.0,,304452.416,359253.85088,0.0,,,1,,1.0,,,,,,,,Update Required,152,
Whis,WOCOMPANY_025,SDPLDEAL-162,One time Project,,Partial Completed,2026-01-09,2025-12-01,Purchase Order,2025-12-01,2025-12-31,OWNER_003,Railways,LiDAR Survey: LiDAR,NONE,,,924900.0,1091382.0,,0.0,,924900.0,1091382.0,0.0,,,1,,1.0,,,,,,,,,153,
Rengoku,WOCOMPANY_002,SDPLDEAL-163,One time Project,,Not Started,,2025-12-01,Purchase Order,2025-12-01,2025-12-31,OWNER_003,Mining,"Topography Survey: RGB, LiDAR Survey: LiDAR",NONE,,,141818.0,167345.24,,0.0,,141818.0,167345.24,0.0,,,1,,1.0,,,,,,,,,154,
Alphonse,WOCOMPANY_009,SDPLDEAL-164,One time Project,,Completed,2025-11-28,2025-11-27,Purchase Order,2025-11-27,2025-12-23,OWNER_001,Renewables,Topography Survey: RGB,SPECTRA,2025-12-19,SDPL/FY25-26/894,511777.963004,603897.99634472,511778.012332,603898.05455176,552719.0068,-0.049328,-0.05820704,51179.04775176,,,497Acres,,497.0,Fully Billed,,November,,Closed,,,,155,
Alphonse,WOCOMPANY_009,SDPLDEAL-165,One time Project,,Completed,2025-12-19,2025-11-28,Purchase Order,2025-11-25,2025-12-25,OWNER_001,Renewables,"Topography Survey: RGB, Hydrology",SPECTRA,,,709081.3676,836716.013768,,0.0,,709081.3676,836716.013768,0.0,,,415Acers,,415.0,Fully Billed,,November,,,,,,156,
Alphonse,WOCOMPANY_009,SDPLDEAL-166,One time Project,,Completed,2025-11-07,2025-11-28,Purchase Order,2025-11-13,2025-12-03,OWNER_001,Renewables,"Topography Survey: RGB, Hydrology",SPECTRA,,SDPL/FY25-26/900,487112.7668,574793.064824,487116.022448,574796.90648864,,-3.255648,-3.84166464,574796.90648864,,,230Acres,,230.0,Fully Billed,,November,,,,,,157,
Obito,WOCOMPANY_023,SDPLDEAL-167,One time Project,,Completed,2026-01-06,2025-12-05,Purchase Order,2025-12-11,2025-12-31,OWNER_003,Mining,Mine survey,NONE,,,1.2332,1.455176,,0.0,,1.2332,1.455176,0.0,,,40 Acres,,40.0,,,,,,,,Update Required,158,
Stewie Griffin,WOCOMPANY_029,SDPLDEAL-168,One time Project,,Ongoing,,2025-12-17,Purchase Order,2025-12-22,2026-01-16,OWNER_002,Powerline,Thermography,NONE,,,608584.2,718129.356,,0.0,,608584.2,718129.356,0.0,,,105 Towers,,105.0,,,,,,,,,159,
Scooby-Doo,WOCOMPANY_002,SDPLDEAL-169,One time Project,,Not Started,,2025-12-13,Purchase Order,2025-12-13,2026-01-31,OWNER_003,Mining,LiDAR Survey: LiDAR,NONE,,,680726.4,803257.152,,0.0,,680726.4,803257.152,0.0,,,1,,1.0,,,,,,,,,160,
Sesshomaru,WOCOMPANY_017,SDPLDEAL-170,One time Project,,Completed,2026-01-06,2025-12-20,Purchase Order,2025-12-16,2026-01-31,OWNER_003,Renewables,Hydrology,NONE,,,308300.0,363794.0,,0.0,,308300.0,363794.0,0.0,,,1,,1.0,,,,,,,,Update Required,161,
Erwin,WOCOMPANY_021,SDPLDEAL-171,One time Project,,Ongoing,,2025-12-17,Purchase Order,2025-12-22,2025-12-31,OWNER_001,Mining,"Topography Survey: RGB, Raw images/videography",NONE,,,425454.0,502035.72,,0.0,,425454.0,502035.72,0.0,,,10.5 KM,,10.5,Not billed yet,,,,,,,,162,
Alias_160,WOCOMPANY_051,SDPLDEAL-172,One time Project,,Completed,2025-12-23,2025-12-12,Purchase Order,2025-12-20,2025-12-31,OWNER_001,Mining,Topography Survey: RGB,SPECTRA,,,53644.2,63300.156,,0.0,,53644.2,63300.156,0.0,,,300 HA,,300.0,Not billed yet,,,,,,,,163,
Alias_160,WOCOMPANY_051,SDPLDEAL-173,One time Project,,Completed,2025-12-23,2025-12-12,Purchase Order,2025-12-20,2025-12-31,OWNER_001,Mining,Topography Survey: RGB,SPECTRA,,,51852.3604,61185.785272,,0.0,,51852.3604,61185.785272,0.0,,,290,,290.0,Not billed yet,,,,,,,,164,
Octopus,WOCOMPANY_002,SDPLDEAL-174,One time Project,,Ongoing,,2025-12-20,Purchase Order,2025-12-20,2026-01-31,OWNER_003,Mining,Others,NONE,,,43162.0,50931.16,,0.0,,43162.0,50931.16,0.0,,,1,,1.0,,,,,,,,,165,
Ben Tennyson,WOCOMPANY_033,SDPLDEAL-175,One time Project,,Ongoing,,2025-12-22,Email Confirmation,2025-12-25,2026-01-15,OWNER_003,Renewables,"Hydrology, Topography Survey: RGB",NONE,,,289802.0,341966.36,,0.0,,289802.0,341966.36,0.0,,,1,,1.0,,,,,,,,,166,
Ben Tennyson,WOCOMPANY_033,SDPLDEAL-176,One time Project,,Ongoing,,2025-12-22,Email Confirmation,2025-12-25,2026-01-15,OWNER_003,Renewables,"Hydrology, Topography Survey: RGB",NONE,,,289802.0,341966.36,,0.0,,289802.0,341966.36,0.0,,,1,,1.0,,,,,,,,,167,
Alphonse,WOCOMPANY_009,SDPLDEAL-177,Monthly Contract,,Not Started,,2025-12-16,Purchase Order,2025-11-01,2026-03-31,OWNER_005,Renewables,Surveillance- needs continues monitoring,SPECTRA + DMO,,,462450.0,545691.0,184980.0,218276.4,213910.872,277470.0,327414.6,4365.528,,,5,,5.0,,,,,,,,,168,
Whale,WOCOMPANY_004,SDPLDEAL-178,Proof of Concept,,Completed,,,,,,OWNER_002,Powerline,"Thermography, LiDAR Survey: LiDAR, Powerline Inspection",SPECTRA,,,0.0,0.0,,0.0,,0.0,0.0,0.0,,,2 towers,,2.0,,,,,,,,,169,
Squirtle,WOCOMPANY_049,SDPLDEAL-179,Proof of Concept,,Ongoing,,2025-12-24,Purchase Order,2025-12-24,2025-12-31,OWNER_002,Powerline,Powerline Inspection,SPECTRA,,,55494.0,65482.92,,0.0,,55494.0,65482.92,0.0,,,L/s,,,,,,,,,,,170,
Ben Tennyson,WOCOMPANY_033,SDPLDEAL-180,One time Project,,Ongoing,,2025-12-29,Email Confirmation,2025-12-31,2026-01-31,OWNER_003,Renewables,"Topography Survey: RGB, Hydrology",NONE,,,295968.0,349242.24,,0.0,,295968.0,349242.24,0.0,,,1,,1.0,,,,,,,,,171,
Turtle,WOCOMPANY_024,SDPLDEAL-181,Proof of Concept,,Details pending from Client,,2026-01-01,Purchase Order,2026-01-12,2026-02-12,OWNER_004,Mining,Mine survey,SPECTRA,,,184980.0,218276.4,,0.0,,184980.0,218276.4,0.0,,,150000,,150000.0,,,,,Open,,,,172,
Bugs Bunny,WOCOMPANY_028,SDPLDEAL-182,One time Project,,Not Started,,2026-01-12,Email Confirmation,2026-01-09,2026-03-31,OWNER_003,Railways,LiDAR Survey: LiDAR,NONE,,,8986062.0288,10603553.193984,,0.0,,8986062.0288,10603553.193984,0.0,,,593,,593.0,,,,,,,,,173,
Bulbasaur,WOCOMPANY_050,SDPLDEAL-185,One time Project,,Not Started,,2026-01-09,Email Confirmation,2026-01-12,2026-01-16,OWNER_004,Others,Others,SPECTRA,,,139072.8968,164106.018224,164106.018224,193645.10150432,69560.569792,-25033.121424,-29539.08328032,124084.53171232,Priority,,7000 images,,7000.0,,,,,,,,,174,
Timon,WOCOMPANY_046,SDPLDEAL-186,One time Project,,Ongoing,,2026-01-06,Purchase Order,2026-01-13,2026-01-30,OWNER_001,Renewables,Others,NONE,,,209027.4,246652.332,,0.0,,209027.4,246652.332,0.0,,,1,,1.0,Not billed yet,,,,,,,,175,
Ben Tennyson,WOCOMPANY_033,SDPLDEAL-187,One time Project,,Not Started,,2026-01-09,Purchase Order,2026-01-19,2026-06-30,OWNER_003,Renewables,Others,NONE,,,610434.0,720312.12,,0.0,,610434.0,720312.12,0.0,,,6,,6.0,,,,,,,,,176,
Ben Tennyson,WOCOMPANY_033,SDPLDEAL-188,One time Project,,Not Started,,2026-01-09,Purchase Order,2026-01-19,2026-02-28,OWNER_003,Renewables,Others,NONE,,,215810.0,254655.8,,0.0,,215810.0,254655.8,0.0,,,2,,2.0,,,,,,,,,177,
,WOCOMPANY_045,SDPLDEAL-189,Proof of Concept,,Ongoing,,2026-01-09,Purchase Order,2026-01-17,2026-03-31,OWNER_003,Railways,Others,NONE,,,1035854.087,1222307.82266,,0.0,,1035854.087,1222307.82266,0.0,,,30,,30.0,,,,,,,,,178,missing_deal_name_masked
